Variable,Type,Unique,Missing N,Missing %,Initial Role,Description
Invoice Number,Categorical,34802,0,0.0,Investigate,"Invoice identifier — not unique, 7,535 numbers appear in multiple rows across 22,733 records"
Entity name,Categorical,397,0,0.0,Exclude,"Hashed practice identifier — anonymised, no predictive value"
Main Member,Categorical,22084,0,0.0,Exclude,"Hashed member identifier — anonymised, no predictive value"
Medical Aid Number,Categorical,1584,145,0.29,Exclude,"Hashed medical aid number — anonymised, no predictive value"
Invoice Date,DateTime,1998,294,0.59,Investigate,"Service invoice date — 294 missing, 2 records dated 2030 (impossible), sparse pre-2019"
Capture Date,DateTime,1577,0,0.0,Keep,"Date invoice entered billing system — no missing, used as target variable start point"
Earliest Capture Date,DateTime,1676,0,0.0,Exclude,Earliest capture across billing events — used only to understand processing history
Latest Capture Date,DateTime,1481,0,0.0,Keep,Latest capture date — used as target variable end point
Service Centre,Categorical,730,2115,4.23,Engineer,"730 unique values — 111 appear once, to be grouped into facility type categories"
Treating Doctor,Categorical,566,744,1.49,Exclude,"Hashed doctor identifier — anonymised, 566 unique values, no predictive value"
Referring Doctor Name,Categorical,3741,3159,6.32,Engineer,Hashed referral identifier — to be converted to binary Has Referral (0/1)
Scheme,Categorical,1,0,0.0,Exclude,"Constant — single value PRIVATE PATIENT across all 50,000 records"
Option,Categorical,6,0,0.0,Keep,"6 categories — 98.61% PRIVATE PATIENT ACUTE, minor categories to be reviewed"
Administrator,Categorical,1,0,0.0,Exclude,"Constant — single value PRIVATE across all 50,000 records"
Posted Billing Group,Categorical,75,3533,7.07,Keep,"75 values — spacing inconsistencies confirmed, unknown and RESERVED labels need cleaning"
ICD10 String,Categorical,6081,4445,8.89,Exclude,"Full ICD10 text string — duplicate of Primary ICD10, noisier format"
Primary ICD10,Categorical,2387,3816,7.63,Engineer,"2,387 unique codes — U/u capitalisation issue found, to be grouped into ICD10 chapters"
ICD10 Description,Categorical,2386,3816,7.63,Exclude,"Text description of ICD10 — duplicate information, harder to use than code"
Patient Name,Categorical,23200,468,0.94,Exclude,"Hashed patient identifier — anonymised, 468 missing, no predictive value"
Patient DOB,Categorical,11193,21241,42.48,Exclude,"42.48% missing, earliest date is year 0101 — corrupted placeholder dates, unusable"
Gender,Categorical,3,1393,2.79,Keep,"3 values: F (50.46%), M (46.62%), V (0.13%) — V to be consolidated into F, 2.79% missing"
Specialty,Categorical,118,1,0.0,Keep,"118 values — confirmed duplicates, typos, bare numbers — needs standardisation"
Debtor Status,Categorical,20,0,0.0,Keep,"20 values — confirmed inconsistencies: private patient, ESTATE/Estate, WCA, RAF, DO NOT USE"
POSSIBLE PMB CALCULATED,Categorical,2,0,0.0,Keep,"Clean — 2 values: NON-PMB (50.58%) and PMB (49.42%), no missing"
CONTRACTED/NON-CONTRACTED,Categorical,2,0,0.0,Keep,"Clean — 2 values: CONTRACTED (54.10%) and NON-CONTRACTED (45.90%), no missing"
Age Bracket,Numeric,7,0,0.0,Keep,"7 ordered values (0-180 days) — 81.91% at 180 days, treat as ordered categorical"
Total Outstanding,Numeric,706,0,0.0,Exclude,"97.01% zero, 186 negative values — post-capture outcome variable, not a predictor"
Total Medical Aid Outstanding,Numeric,98,0,0.0,Exclude,"99.75% zero — near constant, post-capture outcome variable"
Total Patient Outstanding,Numeric,628,0,0.0,Exclude,"97.24% zero, 118 negative values — post-capture outcome variable"
Total Turnover,Numeric,9114,3822,7.64,Keep,"7.64% missing, heavily right-skewed (max R1.48M) — needs log transformation"
Total Cashflow,Numeric,8859,6683,13.37,Exclude,"90.43% negative by accounting convention — post-capture outcome, 37 anomalous positives noted"
Total Journals,Numeric,1594,46834,93.67,Exclude,"93.67% missing — post-capture write-off adjustments, not available at time of capture"
